Servant,id,Avatar,avp,AvatarMax,Nick,R,Class,Attr.,C1,C2,C3,C4,C5,HP,ATK,Availability,asc11,asc11n,asc12,asc12n,asc13,asc13n,asc21,,asc22,,asc23,,asc24,,asc31,,asc32,,asc33,,asc41,,asc42,,asc43,,asc44,,skill11,,skill12,,skill13,,skill21,,skill22,,skill23,,skill24,,skill31,,skill32,,skill33,,skill41,,skill42,,skill43,,skill44,,skill51,,skill52,,skill53,,skill61,,skill62,,skill63,,skill64,,skill71,,skill72,,skill81,,skill82,,campaign1,campaign2,campaign3
Sitonai,224,https://vignette.wikia.nocookie.net/fategrandorder/images/2/2f/S224Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/10/SitonaiFinalIcon.png/revision/latest?cb=20181025174618,Sitonai,5,Alter Ego,Sky,B,B,A,A,Q,13965,11668,Story-locked,pieceCaster,5,pieceBerserker,5,,,pieceCaster,12,pieceBerserker,12,,,,,monumentCaster,5,monumentBerserker,5,,,monumentCaster,12,monumentBerserker,12,,,,,blueCaster,5,blueBerserker,5,,,blueCaster,12,blueBerserker,12,,,,,redCaster,5,redBerserker,5,,,redCaster,12,redBerserker,12,,,,,goldCaster,5,goldBerserker,5,,,goldCaster,12,goldBerserker,12,,,,,Lamp,5,Lanugo,5,Scale,9,Heart,9,ONILAND Re-Run,Valentine's 2020,Valentine's 2021
Skadi,215,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c1/Scathach-SkadiIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/20/ScathachSkadiFinalIcon.png/revision/latest?cb=20180730150943,Skadi,5,Caster,Sky,B,A,A,Q,Q,14406,10753,Limited,pieceCaster,5,,,,,pieceCaster,12,Lanugo,5,,,,,monumentCaster,5,Permafrost,10,Heart,2,monumentCaster,12,Heart,4,Ring,12,,,blueCaster,5,,,,,blueCaster,12,,,,,,,redCaster,5,,,,,redCaster,12,Permafrost,5,,,,,goldCaster,5,Permafrost,10,,,goldCaster,12,Lanugo,3,,,,,Lanugo,6,Steel,6,Steel,18,Dust,48,18M Downloads Campaign,,
Space Ishtar,268,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b4/S268Icon.png/revision/latest/scale-to-width-down/75?cb=20191030164656,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c8/SpaceIshtarFinalIcon.png/revision/latest?cb=20191030164706,Space Ishtar,5,Avenger,Star,B,B,A,A,Q,13041,12612,Limited,Crystal,10,Grease,10,,,Jewel,10,Lanugo,10,,,,,Tearstone,10,Core,10,,,Scarab,10,Heart,10,,,,,Gear,10,,,,,Feather,10,,,,,,,Fluid,12,,,,,Stake,12,,,,,,,Gunpowder,12,,,,,Steel,15,,,,,,,Gallstone,15,,,Egg,15,,,Saber Wars 2,,
Spartacus,50,https://vignette.wikia.nocookie.net/fategrandorder/images/c/ce/Spartacusicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/57/SpartacusFinalIcon.png/revision/latest?cb=20180218073541,Spartacus,1,Berserker,Man,B,B,B,A,Q,7722,5073,Permanent,pieceBerserker,2,,,,,pieceBerserker,4,Crystal,3,,,,,monumentBerserker,2,Proof,10,Baby,2,monumentBerserker,4,Baby,4,Bone,12,,,blueBerserker,2,,,,,blueBerserker,4,,,,,,,redBerserker,2,,,,,redBerserker,4,Proof,5,,,,,goldBerserker,2,Proof,10,,,goldBerserker,4,Crystal,2,,,,,Crystal,4,Seed,3,Seed,8,Bone,24,,,
Stheno,41,https://vignette.wikia.nocookie.net/fategrandorder/images/2/29/Sthenoicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/74/SthenoFinalIcon.png/revision/latest?cb=20180217094117,Stheno,4,Assassin,Sky,B,A,Q,Q,Q,11518,8985,Permanent,pieceAssassin,4,,,,,pieceAssassin,10,Jewel,5,,,,,monumentAssassin,4,Heart,4,Dust,8,monumentAssassin,10,Dust,16,Scale,4,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Heart,2,,,,,goldAssassin,4,Heart,4,,,goldAssassin,10,Jewel,4,,,,,Jewel,7,Claw,3,Claw,9,Scale,8,,,
Super Orion,272,https://vignette.wikia.nocookie.net/fategrandorder/images/3/35/S272Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d3/SuperOrionFinalIcon.png,Super Orion,5,Archer,Earth,B,B,B,A,Q,13494,12557,Limited,pieceArcher,5,,,,,pieceArcher,12,Proof,22,,,,,monumentArcher,5,Crystal,10,Lanugo,3,monumentArcher,12,Lanugo,6,Gallstone,5,,,blueArcher,5,,,,,blueArcher,12,,,,,,,redArcher,5,,,,,redArcher,12,Crystal,5,,,,,goldArcher,5,Crystal,10,,,goldArcher,12,Proof,15,,,,,Proof,29,Arrowhead,6,Arrowhead,18,Shard,10,Atlantis Chapter Release,New Year 2021,
Suzuka Gozen,165,https://vignette.wikia.nocookie.net/fategrandorder/images/2/28/Suzuka.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1d/SuzukaGozenFinalIcon.png/revision/latest?cb=20180212152542,Suzuka,4,Saber,Sky,B,B,A,A,Q,11753,9544,Permanent,pieceSaber,4,,,,,pieceSaber,10,Bone,18,,,,,monumentSaber,4,Seed,10,Feather,4,monumentSaber,10,Feather,7,Scarab,4,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Seed,5,,,,,goldSaber,4,Seed,10,,,goldSaber,10,Bone,12,,,,,Bone,24,Seashell,5,Seashell,15,Root,8,Main Interlude: SE.RA.PH,,
Taira no Kagekiyo,303,https://static.wikia.nocookie.net/fategrandorder/images/2/23/S303Icon.png,,https://static.wikia.nocookie.net/fategrandorder/images/4/45/S303A4Icon.png,Avenger Ushi,5,Avenger,Earth,B,A,A,Q,Q,12117,12705,Limited,Lantern,10,Lamp,10,,,Magatama,10,Lanugo,10,,,,,Tearstone,10,Grease,10,,,Gallstone,10,Flame,10,,,,,Bone,10,,,,,Chain,10,,,,,,,Lantern,12,,,,,Stake,12,,,,,,,Arrowhead,12,,,,,Tearstone,15,,,,,,,Gallstone,15,,,Mirror,15,,,Little Big Tengu,,
Tamamo Cat,58,https://vignette.wikia.nocookie.net/fategrandorder/images/e/ec/Tamamoicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/9/9d/TamamoCatFinalIcon.png/revision/latest?cb=20180218073712,Tamacat,4,Berserker,Earth,B,B,B,A,Q,11458,9026,Permanent,pieceBerserker,4,,,,,pieceBerserker,10,Lantern,6,,,,,monumentBerserker,4,Baby,8,Claw,3,monumentBerserker,10,Claw,5,Heart,4,,,blueBerserker,4,,,,,blueBerserker,10,,,,,,,redBerserker,4,,,,,redBerserker,10,Baby,4,,,,,goldBerserker,4,Baby,8,,,goldBerserker,10,Lantern,4,,,,,Lantern,8,Crystal,5,Crystal,15,Heart,8,Grail Live,,
Tamamo no Mae,62,https://vignette.wikia.nocookie.net/fategrandorder/images/8/87/Tamamocastericon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/8/82/TamamoFinalIcon.png/revision/latest?cb=20180216122924,Tamamo,5,Caster,Sky,B,A,A,A,Q,14259,10546,Permanent,pieceCaster,5,,,,,pieceCaster,12,Lantern,8,,,,,monumentCaster,5,Bone,29,Heart,2,monumentCaster,12,Heart,4,Page,12,,,blueCaster,5,,,,,blueCaster,12,,,,,,,redCaster,5,,,,,redCaster,12,Bone,15,,,,,goldCaster,5,Bone,29,,,goldCaster,12,Lantern,5,,,,,Lantern,10,Seed,8,Seed,22,Page,24,Inn of the Tongue-cut Sparrow Re-Run,Valentine's 2020,Valentine's 2021
Tamamo no Mae [Lancer],128,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1f/TamamoLancericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/a/ab/TamamoLancerFinalIcon.png/revision/latest?cb=20180214132259,Tama Lancer,5,Lancer,Sky,B,B,A,Q,Q,15147,10726,Limited,pieceLancer,5,,,,,pieceLancer,12,Feather,6,,,,,monumentLancer,5,Seed,12,Horn,3,monumentLancer,12,Horn,6,Seashell,12,,,blueLancer,5,,,,,blueLancer,12,,,,,,,redLancer,5,,,,,redLancer,12,Seed,6,,,,,goldLancer,5,Seed,12,,,goldLancer,12,Feather,4,,,,,Feather,8,Claw,4,Claw,11,Heart,10,New Year 2021,,
Tawara Touta,125,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b9/Toudaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/13/TawaraToutaFinalIcon.png/revision/latest?cb=20180213160049,Touta,3,Archer,Man,B,B,A,A,Q,9800,7032,Permanent,pieceArcher,4,,,,,pieceArcher,8,Seed,6,,,,,monumentArcher,4,Proof,20,Feather,3,monumentArcher,8,Feather,6,Root,4,,,blueArcher,4,,,,,blueArcher,8,,,,,,,redArcher,4,,,,,redArcher,8,Proof,10,,,,,goldArcher,4,Proof,20,,,goldArcher,8,Seed,4,,,,,Seed,8,Crystal,4,Crystal,12,Scarab,7,,,
Thomas Edison,103,https://vignette.wikia.nocookie.net/fategrandorder/images/0/0e/Edisonicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/52/ThomasEdisonFinalIcon.png/revision/latest?cb=20180216122944,Edison,4,Caster,Man,B,A,A,A,Q,11882,7952,Story-locked,pieceCaster,4,,,,,pieceCaster,10,Page,6,,,,,monumentCaster,4,Proof,24,Gear,4,monumentCaster,10,Gear,8,Grease,6,,,blueCaster,4,,,,,blueCaster,10,,,,,,,redCaster,4,,,,,redCaster,10,Proof,12,,,,,goldCaster,4,Proof,24,,,goldCaster,10,Page,4,,,,,Page,8,Heart,2,Heart,6,Claw,12,Requiem Collab Pre-Campaign,,
Tomoe Gozen,184,https://vignette.wikia.nocookie.net/fategrandorder/images/9/96/S184.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/09/TomoeGozenFinalIcon.png/revision/latest?cb=20180214113831,Tomoe,4,Archer,Earth,B,B,A,A,Q,10804,9946,Permanent,pieceArcher,4,,,,,pieceArcher,10,Horseshoe,6,,,,,monumentArcher,4,Feather,7,Magatama,4,monumentArcher,10,Magatama,8,Grease,6,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Feather,4,,,,,goldArcher,4,Feather,7,,,goldArcher,10,Horseshoe,4,,,,,Horseshoe,8,Wine,2,Wine,6,Tearstone,12,Inn of the Tongue-cut Sparrow Re-Run,,
Tomoe Gozen [Saber],290,https://vignette.wikia.nocookie.net/fategrandorder/images/7/77/S290Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/17/TomoeGozenSaberFinalIcon.png,Summer Tomoe,4,Saber,Earth,B,B,A,A,Q,12233,9544,Limited,pieceSaber,4,,,,,pieceSaber,10,Proof,18,,,,,monumentSaber,4,Gear,8,Magatama,4,monumentSaber,10,Magatama,8,Seashell,10,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Gear,4,,,,,goldSaber,4,Gear,8,,,goldSaber,10,Proof,12,,,,,Proof,24,Magatama,5,Magatama,15,Core,12,Servant Summer Camp,Servant Summer Camp Re-Run,
Tristan,122,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e0/Tristanicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/77/TristanFinalIcon.png/revision/latest?cb=20180214113732,Tristan,4,Archer,Earth,B,A,A,Q,Q,11637,9735,Story-locked,pieceArcher,4,,,,,pieceArcher,10,Medal,12,,,,,monumentArcher,4,Feather,7,Page,4,monumentArcher,10,Page,8,Tearstone,6,,,blueArcher,4,,,,,blueArcher,10,,,,,,,redArcher,4,,,,,redArcher,10,Feather,4,,,,,goldArcher,4,Feather,7,,,goldArcher,10,Medal,8,,,,,Medal,16,Lantern,5,Lantern,15,Chain,60,Holy Grail Front - Camelot,,
Ushiwakamaru,27,https://vignette.wikia.nocookie.net/fategrandorder/images/a/aa/Ushiwaicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/5f/UshiwakamaruFinalIcon.png/revision/latest?cb=20180215130219,Ushi,3,Rider,Man,B,A,A,Q,Q,9028,7076,Permanent,pieceRider,4,,,,,pieceRider,8,Proof,15,,,,,monumentRider,4,Horseshoe,7,Lantern,4,monumentRider,8,Lantern,7,Crystal,8,,,blueRider,4,,,,,blueRider,8,,,,,,,redRider,4,,,,,redRider,8,Horseshoe,4,,,,,goldRider,4,Horseshoe,7,,,goldRider,8,Proof,10,,,,,Proof,20,Gear,4,Gear,12,Crystal,16,,,
Ushiwakamaru [Assassin],218,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e3/S218Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c7/UshiwakamaruAssassinFinalIcon.png/revision/latest?cb=20180815152019,Summer Ushi,4,Assassin,Man,B,A,Q,Q,Q,10580,9456,Limited,pieceAssassin,4,,,,,pieceAssassin,10,Seed,8,,,,,monumentAssassin,4,Magatama,8,Horn,3,monumentAssassin,10,Horn,5,Gallstone,4,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Magatama,4,,,,,goldAssassin,4,Magatama,8,,,goldAssassin,10,Seed,5,,,,,Seed,10,Seashell,5,Seashell,15,Ring,20,Servant Summer Festival Re-Run,,
Utsumi Erice,283,https://vignette.wikia.nocookie.net/fategrandorder/images/2/24/S283Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c7/UtsumiEriceFinalIcon.png,Erice,4,Lancer,Man,B,A,A,Q,Q,11991,9122,Welfare,Astrolabe,1,,,,,Astrolabe,1,,,,,,,Astrolabe,1,,,,,Astrolabe,1,,,,,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Bone,12,,,,,goldLancer,4,Bone,24,,,goldLancer,10,Lantern,4,,,,,Lantern,8,Stake,15,Stake,45,Arrowhead,20,Board Game Apocalypse (Requiem),,
Valkyrie,214,https://vignette.wikia.nocookie.net/fategrandorder/images/9/90/S214Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/6b/ValkyrieFinalIcon.png/revision/latest?cb=20180726112209,Valkyrie,4,Lancer,Sky,B,B,A,Q,Q,14025,8037,Permanent,pieceLancer,4,,,,,pieceLancer,10,Seed,8,,,,,monumentLancer,4,Proof,24,Feather,4,monumentLancer,10,Feather,7,Steel,10,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Proof,12,,,,,goldLancer,4,Proof,24,,,goldLancer,10,Seed,5,,,,,Seed,10,Lantern,5,Lantern,15,Steel,20,,,
Van Gogh,295,https://static.wikia.nocookie.net/fategrandorder/images/1/18/S295Icon.png/,,https://static.wikia.nocookie.net/fategrandorder/images/3/3e/S295A4Icon.png/,Van Gogh,5,Foreigner,Earth,B,A,Q,Q,Q,15000,11220,Limited,Dust,10,Chain,10,,,Feather,10,Grease,10,,,,,Claw,10,Lanugo,10,,,Tearstone,10,Root,10,,,,,Dust,10,,,,,Seed,10,,,,,,,Page,12,,,,,Baby,12,,,,,,,Steel,12,,,,,Root,15,,,,,,,fruit,15,,,Shard,15,,,Imaginary Scramble,,
Vlad III,52,https://vignette.wikia.nocookie.net/fategrandorder/images/a/aa/Vladicon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d1/VladIIIFinalIcon.png/revision/latest?cb=20180218073706,Vlad,5,Berserker,Earth,B,B,A,A,Q,13770,11499,Permanent,pieceBerserker,5,,,,,pieceBerserker,12,Scale,3,,,,,monumentBerserker,5,Claw,6,Page,5,monumentBerserker,12,Page,10,Dust,24,,,blueBerserker,5,,,,,blueBerserker,12,,,,,,,redBerserker,5,,,,,redBerserker,12,Claw,3,,,,,goldBerserker,5,Claw,6,,,goldBerserker,12,Scale,2,,,,,Scale,4,Bone,18,Bone,54,Dust,48,Chaldea Boys Collection 2020,Apocrypha Collab Re-Run,Chaldea Boys Collection 2021
Vlad III [EXTRA],140,https://vignette.wikia.nocookie.net/fategrandorder/images/6/63/Vlad_%28Extra%29_icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/3/34/VladIIIExtraFinalIcon.png/revision/latest?cb=20180214132043,Vlad EXTRA,4,Lancer,Man,B,B,A,Q,Q,13005,8775,Permanent,pieceLancer,4,,,,,pieceLancer,10,Proof,18,,,,,monumentLancer,4,Chain,24,Grease,3,monumentLancer,10,Grease,5,Scale,4,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Chain,12,,,,,goldLancer,4,Chain,24,,,goldLancer,10,Proof,12,,,,,Proof,24,Crystal,5,Crystal,15,Heart,8,,,
Voyager,281,https://vignette.wikia.nocookie.net/fategrandorder/images/a/a3/S281Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/1/1b/VoyagerFinalIcon.png/revision/latest?cb=20200525144409,Voyager,5,Foreigner,Star,B,A,A,Q,Q,15592,10450,Limited,Dust,10,Gear,10,,,Horseshoe,10,Grease,10,,,,,Fluid,10,Scarab,10,,,Seashell,10,Shard,10,,,,,Gear,10,,,,,Fluid,10,,,,,,,Gunpowder,12,,,,,Steel,12,,,,,,,Core,12,,,,,Egg,15,,,,,,,Vein,15,,,Shard,15,,,Board Game Apocalypse (Requiem),Chaldea Boys Collection 2021,
Vritra,300,https://static.wikia.nocookie.net/fategrandorder/images/a/a4/S300Icon.png/,,https://static.wikia.nocookie.net/fategrandorder/images/d/da/S300A4Icon.png,Vritra,5,Lancer,Sky,B,A,A,Q,Q,13632,12332,Permanent,pieceLancer,5,,,,,pieceLancer,12,Fang,18,,,,,monumentLancer,5,Jewel,8,Stake,15,monumentLancer,12,Stake,29,Scale,5,,,blueLancer,5,,,,,blueLancer,12,,,,,,,redLancer,5,,,,,redLancer,12,Jewel,4,,,,,goldLancer,5,Jewel,8,,,goldLancer,12,Fang,12,,,,,Fang,24,Permafrost,6,Permafrost,18,Ring,24,Christmas 2020,Valentine's 2021,
Watanabe no Tsuna,298,https://static.wikia.nocookie.net/fategrandorder/images/7/7c/S298Icon.png/,,https://static.wikia.nocookie.net/fategrandorder/images/a/a1/S298A4Icon.png/,Tsuna,4,Saber,Man,B,B,A,A,Q,11248,10123,Permanent,pieceSaber,4,,,,,pieceSaber,10,Proof,18,,,,,monumentSaber,4,Magatama,8,Feather,4,monumentSaber,10,Feather,7,Mirror,4,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Magatama,4,,,,,goldSaber,4,Magatama,8,,,goldSaber,10,Proof,12,,,,,Proof,24,Bell,5,Bell,15,Thread,20,Heian-kyou Chapter Release,Chaldea Boys Collection 2021,
William Shakespeare,34,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d5/Shakespeareicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/c/c8/ShakespeareFinalIcon.png/revision/latest?cb=20180216122811,Shakespeare,2,Caster,Man,B,A,A,A,Q,8080,5798,Permanent,pieceCaster,3,,,,,pieceCaster,6,Lantern,4,,,,,monumentCaster,3,Page,5,Baby,3,monumentCaster,6,Baby,5,Jewel,5,,,blueCaster,3,,,,,blueCaster,6,,,,,,,redCaster,3,,,,,redCaster,6,Page,3,,,,,goldCaster,3,Page,5,,,goldCaster,6,Lantern,3,,,,,Lantern,5,Dust,6,Dust,18,Jewel,10,,,
William Tell,246,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b7/S246Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/71/WilliamTellFinalIcon.png,William,3,Archer,Man,B,B,A,A,Q,9310,7384,Permanent,pieceArcher,4,,,,,pieceArcher,8,Seed,5,,,,,monumentArcher,4,Chain,20,Lanugo,2,monumentArcher,8,Lanugo,4,Root,4,,,blueArcher,4,,,,,blueArcher,8,,,,,,,redArcher,4,,,,,redArcher,8,Chain,10,,,,,goldArcher,4,Chain,20,,,goldArcher,8,Seed,4,,,,,Seed,8,Tearstone,3,Tearstone,8,Arrowhead,16,Yuga Kshetra Chapter Release,,
Wolfgang Amadeus Mozart,36,https://vignette.wikia.nocookie.net/fategrandorder/images/e/e8/Mozarticon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/44/WolfgangAmadeusMozartFinalIcon.png/revision/latest?cb=20180216122819,Mozart,1,Caster,Star,B,A,A,A,Q,7129,5195,Permanent,pieceCaster,2,,,,,pieceCaster,4,Bone,8,,,,,monumentCaster,2,Gear,4,Page,2,monumentCaster,4,Page,4,Heart,2,,,blueCaster,2,,,,,blueCaster,4,,,,,,,redCaster,2,,,,,redCaster,4,Gear,2,,,,,goldCaster,2,Gear,4,,,goldCaster,4,Bone,5,,,,,Bone,10,Feather,2,Feather,5,Heart,4,,,
Wu Zetian,170,https://vignette.wikia.nocookie.net/fategrandorder/images/4/4e/AssassinofNightlessCity.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/d/d5/WuZetianFinalIcon.png/revision/latest?cb=20180217094402,Wu Zetian,4,Assassin,Man,B,B,A,Q,Q,10942,8981,Permanent,pieceAssassin,4,,,,,pieceAssassin,10,Stinger,15,,,,,monumentAssassin,4,Chain,24,Grease,3,monumentAssassin,10,Grease,5,Gallstone,4,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Chain,12,,,,,goldAssassin,4,Chain,24,,,goldAssassin,10,Stinger,10,,,,,Stinger,20,Wine,2,Wine,6,Fluid,60,21M Downloads Campaign,,
Xiang Yu,226,https://vignette.wikia.nocookie.net/fategrandorder/images/9/91/S226Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/b/b9/XiangYuFinalIcon.png/revision/latest?cb=20181128162249,Xiang Yu,5,Berserker,Man,B,B,B,A,Q,13770,11613,Permanent,pieceBerserker,5,,,,,pieceBerserker,12,Gear,8,,,,,monumentBerserker,5,Gunpowder,29,Grease,3,monumentBerserker,12,Grease,8,Core,8,,,blueBerserker,5,,,,,blueBerserker,12,,,,,,,redBerserker,5,,,,,redBerserker,12,Gunpowder,15,,,,,goldBerserker,5,Gunpowder,29,,,goldBerserker,12,Gear,5,,,,,Gear,10,Ring,6,Ring,18,Core,15,Interlude Campaign 12,Chaldea Boys Collection 2020,Chaldea Boys Collection 2021
Xuanzang Sanzang,113,https://vignette.wikia.nocookie.net/fategrandorder/images/7/79/Xuanzangicon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/7/78/XuanzangFinalIcon.png/revision/latest?cb=20180216123014,Sanzang,5,Caster,Man,B,A,A,A,Q,12965,11658,Permanent,pieceCaster,5,,,,,pieceCaster,12,Seed,9,,,,,monumentCaster,5,Crystal,10,Feather,4,monumentCaster,12,Feather,8,Root,5,,,blueCaster,5,,,,,blueCaster,12,,,,,,,redCaster,5,,,,,redCaster,12,Crystal,5,,,,,goldCaster,5,Crystal,10,,,goldCaster,12,Seed,6,,,,,Seed,12,Horseshoe,6,Horseshoe,18,Page,24,Valentine's 2020,Valentine's 2021,
Yagyu Munenori,187,https://vignette.wikia.nocookie.net/fategrandorder/images/9/97/S187.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/f/f9/YagyuuMunenoriFinalIcon.png/revision/latest?cb=20180212152528,Yagyu,4,Saber,Man,B,B,A,A,Q,11135,9999,Story-locked,pieceSaber,4,,,,,pieceSaber,10,Dust,12,,,,,monumentSaber,4,Proof,24,Lanugo,3,monumentSaber,10,Lanugo,5,Magatama,10,,,blueSaber,4,,,,,blueSaber,10,,,,,,,redSaber,4,,,,,redSaber,10,Proof,12,,,,,goldSaber,4,Proof,24,,,goldSaber,10,Dust,8,,,,,Dust,16,Crystal,5,Crystal,15,Wine,8,Saber Wars 2,Tokugawa Kaiten Meikyū Ōoku Re-Run,Saber Wars 2 Re-Run
Yan Qing,159,https://vignette.wikia.nocookie.net/fategrandorder/images/7/75/ShinjukuAssassinIcon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/2/28/YanQingFinalIcon.png/revision/latest?cb=20180217094345,Yan Qing,4,Assassin,Man,B,A,Q,Q,Q,11637,8661,Permanent,pieceAssassin,4,,,,,pieceAssassin,10,Dust,12,,,,,monumentAssassin,4,Lantern,8,Crystal,4,monumentAssassin,10,Crystal,8,Feather,8,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Lantern,4,,,,,goldAssassin,4,Lantern,8,,,goldAssassin,10,Dust,8,,,,,Dust,16,Fluid,15,Fluid,45,Baby,20,Servant Strengthening Quests XIII,,
Yang Guifei,275,https://vignette.wikia.nocookie.net/fategrandorder/images/7/75/S275Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/5/5c/YangGuifeiStage4Icon.png,Hao Hao,5,Foreigner,Man,B,A,A,Q,Q,13365,12342,Limited,Bone,10,Dust,10,,,Feather,10,Claw,10,,,,,Tearstone,10,Scarab,10,,,Lamp,10,Heart,10,,,,,Chain,10,,,,,Lantern,10,,,,,,,Jewel,12,,,,,Stake,12,,,,,,,Bell,12,,,,,Core,15,,,,,,,Mirror,15,,,Shard,15,,,New Year 2020,Imaginary Scramble Pre-Campaign,
Yu Miaoyi,230,https://vignette.wikia.nocookie.net/fategrandorder/images/0/0a/S230Icon.png,,https://vignette.wikia.nocookie.net/fategrandorder/images/0/0c/YuMiaoyiFinalIcon.png/revision/latest?cb=20181228111758,Gucchan,4,Assassin,Earth,B,B,A,Q,Q,13389,7970,Story-locked,pieceAssassin,4,,,,,pieceAssassin,10,Dust,12,,,,,monumentAssassin,4,Bell,8,Tearstone,3,monumentAssassin,10,Tearstone,5,Root,4,,,blueAssassin,4,,,,,blueAssassin,10,,,,,,,redAssassin,4,,,,,redAssassin,10,Bell,4,,,,,goldAssassin,4,Bell,8,,,goldAssassin,10,Dust,8,,,,,Dust,16,Stake,15,Stake,45,Core,12,21M Downloads Campaign,,
Yu Miaoyi [Lancer],288,https://vignette.wikia.nocookie.net/fategrandorder/images/3/35/S288Icon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/6/65/YuMiaoyiLancerFinalIcon.png/,Summer Yu,4,Lancer,Earth,B,B,A,Q,Q,11245,9896,Welfare,Ornament,1,,,,,Ornament,1,,,,,,,Ornament,1,,,,,Ornament,1,,,,,,,blueLancer,4,,,,,blueLancer,10,,,,,,,redLancer,4,,,,,redLancer,10,Seashell,4,,,,,goldLancer,4,Seashell,8,,,goldLancer,10,Horn,5,,,,,Horn,8,Bell,5,Bell,15,Fruit,12,Servant Summer Camp,Servant Summer Camp Re-Run,
Zhuge Liang [El-Melloi II],37,https://vignette.wikia.nocookie.net/fategrandorder/images/3/31/Wavericon.png/,,https://vignette.wikia.nocookie.net/fategrandorder/images/4/45/ZhugeLiangFinalIcon.png/revision/latest?cb=20180216123108,Waver,5,Caster,Man,B,A,A,A,Q,14259,10598,Permanent,pieceCaster,5,,,,,pieceCaster,12,Dust,15,,,,,monumentCaster,5,Page,10,Gear,5,monumentCaster,12,Gear,10,Feather,10,,,blueCaster,5,,,,,blueCaster,12,,,,,,,redCaster,5,,,,,redCaster,12,Page,5,,,,,goldCaster,5,Page,10,,,goldCaster,12,Dust,10,,,,,Dust,20,Heart,3,Heart,8,Feather,20,Chaldea Boys Collection 2020,Chaldea Boys Collection 2021,
